NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
LICENCIATURA EN ARTES VISUALES,CIENCIAS DE LA EDUCACION,9,Semestral,1618001,3021412,22590455.443033095
LICENCIATURA EN BIOLOGIA,CIENCIAS DE LA EDUCACION,8,Semestral,1618001,3021412,19124195.08404918
LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,CIENCIAS DE LA EDUCACION,9,Semestral,1618001,3021412,22590455.443033095
LICENCIATURA EN CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION,8,Semestral,1618001,3021412,19124195.08404918
LICENCIATURA EN DEPORTE,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,1618001,3381944,26355531.35020528
LICENCIATURA EN DISE?O TECNOLOGICO,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN EDUCACION BASICA PRIMARIA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN EDUCACION COMUNITARIA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN EDUCACION ESPECIAL,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,1618001,3381944,26355531.35020528
LICENCIATURA EN EDUCACION FISICA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,8,Semestral,1618001,3021412,19124195.08404918
LICENCIATURA EN ELECTRONICA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN ESPANOL E INGLES,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN ESPANOL Y LENGUAS EXTRANJERAS,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN FILOSOFIA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN FISICA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN MATEMATICAS,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN MUSICA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN QUIMICA,CIENCIAS DE LA EDUCACION,10,Semestral,1618001,3021412,26355531.35020528
LICENCIATURA EN RECREACION,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,1618001,3381944,26355531.35020528
LICENCIATURA EN TECNOLOGIA,CIENCIAS DE LA EDUCACION,9,Semestral,1618001,3021412,22590455.443033095
PEDAGOGIA,CIENCIAS DE LA EDUCACION,8,Semestral,1618001,3021412,19124195.08404918
ADMINISTRACION AGROINDUSTRIAL,"PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIAS RELATIVOS A AGROPECUARIO, SILVICULTURA, PESCA Y VETERINARIA",10,Semestral,633818,4366667,10324227.345548248
ADMINISTRACION COMERCIAL Y FINANCIERA,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",10,Semestral,730662,3141667,11901714.057904594
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,10,Semestral,866697,3362637,14117580.863441287
ADMINISTRACION DE SERVICIOS DE SALUD,GESTION Y ADMINISTRACION,10,Semestral,749576,3362637,12209803.187613279
ARQUITECTURA,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,1222783,4076923,19917846.58414801
ARTES PLASTICAS Y VISUALES,MUSICA Y ARTES ESCENICAS,10,Semestral,1035271,3131173,16863473.69158509
BIOLOGIA,BIOLOGIA,10,Semestral,1263827,3444444,20586410.09476254
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,746443,2958333,12158769.918956341
DERECHO,DERECHO,10,Semestral,1362389,2761905,22191881.216806926
ECONOMIA,ECONOMIA,10,Semestral,879676,3262821,14328995.09705073
ENFERMERIA,MEDICINA,9,Semestral,1077313,3500000,15041394.48906417
FISICA,FISICA,10,Semestral,1117367,3166667,18200731.0243843
INGENIERIA AGRONOMICA,PRODUCCION AGRICOLA Y GANADERA,10,Semestral,856395,3391667,13949772.138990674
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,1092653,3809524,17798166.00632252
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,1442843,4076923,23502392.099834446
INGENIERIA DE SISTEMAS Y COMPUTACION,USO DE COMPUTADORES,10,Semestral,1351350,3937500,22012067.538956963
INGENIERIA DE TRANSPORTE Y VIAS,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,915898,3809524,14919013.308762057
INGENIERIA METALURGICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,859992,4138889,14008363.47871586
LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,CIENCIAS DE LA EDUCACION,10,Semestral,724968,3021412,11808964.797855886
